ipc_code,NBER
B01,1
B02,1
B03,1
B04,1
B05,1
B06,1
B07,1
B08,1
B09,1
C01,1
C02,1
C03,1
C04,1
C05,1
C07,1
C08,1
C09,1
C10,1
C11,1
A01N,1
G04,2
G05,2
G06,2
G07,2
G08,2
G09,2
G10,2
G11,2
G12,2
H03,2
H04,2
A61,3
A62,3
A63,3
C12,3
C13,3
C14,3
G01,4
G02,4
G03,4
G21,4
H01,4
H02,4
H05,4
B21,5
B22,5
B23,5
B24,5
B25,5
B26,5
B27,5
B28,5
B29,5
B30,5
B32,5
B60,5
B61,5
B62,5
B63,5
B64,5
B65,5
B66,5
B67,5
B68,5
C21,5
C22,5
C23,5
C24,5
C25,5
C26,5
C27,5
C28,5
C29,5
C30,5
F01,5
F02,5
F03,5
F04,5
F15,5
F16,5
F17,5
A01,6
A21,6
A22,6
A23,6
A24,6
A41,6
A42,6
A43,6
A44,6
A45,6
A46,6
A47,6
B41,6
B42,6
B43,6
B44,6
B81,6
B82,6
D01,6
D02,6
D03,6
D04,6
D05,6
D06,6
D07,6
D21,6
B31,6
E01,6
E02,6
E03,6
E04,6
E05,6
E06,6
E21,6
F21,6
F22,6
F23,6
F24,6
F25,6
F26,6
F27,6
F28,6
F41,6
F42,6
C06,6
